2025-11-12 19:07:06,!9c5cc60c,Echo Solar Base Station,0,0,0,Never,offline
2025-11-12 19:07:06,!ea341b10,¯⁠\⁠_⁠(⁠ツ⁠)⁠_⁠/⁠¯,-16.25,-16.25,2,2025-11-12 18:47:59,offline
2025-11-12 19:07:06,!849c352c,Meshtastic 352c,-14.25,-14.25,3,2025-11-12 18:48:20,offline
2025-11-12 19:07:06,!9e757a8c,Meshtastic 7a8c,0,0,0,Never,offline
2025-11-12 19:07:06,!433f2d38,Meshtastic 2d38,0,0,0,Never,offline
2025-11-12 19:07:06,!b9f71d72,RBZLA-MAIN,-18.75,-18.75,2,2025-11-12 18:59:22,online
2025-11-12 19:07:06,!ead43ac6,Meshtastic 3ac6,-17.75,-17.75,2,2025-11-12 18:55:40,online
2025-11-12 19:07:06,!36faa52f,Kk7myx,-15.5,-15.5,3,2025-11-12 18:50:06,offline
2025-11-12 19:07:06,!433cad44,Meshtastic ad44,-16.25,-16.25,2,2025-11-12 18:57:16,online
2025-11-12 19:07:06,!16cff678,Meshtastic f678,-13.5,-13.5,4,2025-11-12 18:51:18,offline
2025-11-12 19:07:06,!3d2cef79,Meshtastic ef79,-12.75,-12.75,0,2025-11-12 18:52:24,online
2025-11-12 19:07:06,!7838a968,Meshtastic a968,0,0,0,Never,offline
2025-11-12 19:07:06,!97d7c113,Meshtastic c113,-16.25,-16.25,1,2025-11-12 18:54:06,online
2025-11-12 19:07:06,!3b46b334,WDZ3 Vegas Northwest ,-1.0,-1.0,2,2025-11-12 18:54:23,online
2025-11-12 19:07:06,!433cc654,Meshtastic c654,3.0,3.0,3,2025-11-12 18:56:15,online
2025-11-12 19:07:06,!f7d5753d,Meshtastic 753d,-14.5,-14.5,2,2025-11-12 18:56:24,online
2025-11-12 19:07:06,!d94d8a95,Meshtastic 8a95,-0.25,-0.25,3,2025-11-12 18:56:28,online
2025-11-12 19:07:06,!16ced69c,KJ7ZDB Base,-9.0,-9.0,1,2025-11-12 18:56:55,online
2025-11-12 19:07:06,!1e37c665,BeachHead Base,6.0,6.0,3,2025-11-12 18:57:36,online
2025-11-12 19:07:06,!a2e95b24,MSD-Base,-16.75,-16.75,0,2025-11-12 19:02:44,online
